question	answer	question_seg	question_seg_stop
信用账户是否可用于新股申购？	根据《关于信用证券账户可用于新股申购的通知》，自2014年12月1日起，投资者可利用融资融券信用证券帐户进行新股申购。	['信用', '账户', '是否', '可', '用于', '新股申购']	 信用 账户 是否 用于 新股申购
非公开发行股份解禁1年以上的股份，也属于受限的特定股份吗？《实施细则》中并未提到1年以上的部分有受到任何限制，减持控制接口jckzxxxxx.txt中N1字段的描述是否应修正？	“股份认定数量1”中的“1年以上非公开发行条件的股份数量”属于受限的特定股份，即仍受到“在任意连续90日内，减持股份的总数不得超过公司股份总数的1%”和“在任意连续90日内，减持股份的总数不得超过公司股份总数的2%”的限制（见实施细则第二条、第四条和第五条）。根据实施细则，“减持上市公司非公开发行股份”适用于减持新规。另外，解禁1年以内的非公开发行股份通过竞价交易只能卖出50%，这是除1%、2%限制之外的额外要求，而并非是指“解禁1年以上的非公开发行股份不受减持新规限制”。	['非', '公开', '发行', '股份', '解禁', '年', '以上', '的', '股份', '也', '属于', '受限', '的', '特定', '股份', '吗', '实施细则', '中', '并未', '提到', '年', '以上', '的', '部分', '有', '受到', '任何', '限制', '减持', '控制', '接口', '中字', '段', '的', '描述', '是否', '应', '修正']	 非 公开 发行 股份 解禁 年 以上 股份 也 属于 受限 特定 股份 实施细则 中 并未 提到 年 以上 部分 受到 限制 减持 控制 接口 中字 段 描述 是否 应 修正
为什么mktdt04中个别港股的前收盘价为0？	因为是除净日,上日收市不适用,所以设置为零。	['为什么', '中', '个别', '港股', '的', '前', '收盘价', '为']	 中 个别 港股 前 收盘价
股份减持可用数量如何计算？		['股份', '减持', '可用', '数量', '如何', '计算']	 股份 减持 可用 数量 计算
如果某股东不在减持控制名单中，股份减持超过了总股本的1%或者2%，是否会返回废单？	此种情况，就交易所技术系统而言，若持仓足够，应会正常处理，与减持新规前的处理方式一样。	['如果', '某', '股东', '不', '在', '减持', '控制', '名单', '中', '股份', '减持', '超过', '了', '总', '股本', '的', '或者', '是否', '会', '返回', '废单']	 股东 不 减持 控制 名单 中 股份 减持 超过 总 股本 是否 会 返回 废单
在特定股份减持中，对于存在自由流通股的情况下，是否在竞价卖出数量超过M1-M0时，大宗普通卖出的控制数量才会扣减？	竞价减持，先扣减特定股份后，特定股份额度用完后，之后再自由流通量。	['在', '特定', '股份', '减持', '中', '对于', '存在', '自由', '流通股', '的', '情况', '下', '是否', '在', '竞价', '卖出', '数量', '超过', '时', '大宗', '普通', '卖出', '的', '控制', '数量', '才', '会', '扣减']	 特定 股份 减持 中 存在 自由 流通股 情况 下 是否 竞价 卖出 数量 超过 时 大宗 普通 卖出 控制 数量 才 会 扣减
申购可转债多少手配一个号？	可转债的申购是一手配一个号，另外股票的申购是每1000股配一个号。	['申购', '可转债', '多少', '手配', '一个', '号']	 申购 可转债 手配
信用账户是否可以做可转债申购？	信用账户可以做可转债申购。	['信用', '账户', '是否', '可以', '做', '可转债', '申购']	 信用 账户 是否 做 可转债 申购
交易所或中登会不会下发投票权益数据？接口是什么样的？什么时候发？需要保留多少天？	交易所或中登不会下发投票权益数据。	['交易所', '或', '中', '登会', '不会', '下发', '投票', '权益', '数据', '接口', '是', '什么样', '的', '什么', '时候', '发', '需要', '保留', '多少', '天']	 交易所 中 登会 不会 下发 投票 权益 数据 接口 发 需要 保留
大宗交易返回废单，错误代码为19084“约定号不唯一”是什么原因？	大宗交易确认2笔成交申报匹配的判断依据是“发起方的pbu、对手方pbu、唯一标识一个约定号”。约定号不是全市场唯一，约定号不唯一这个报错是指与同一对手方PBU之间的订单约定号不能重复，即使订单撮合成交后该约定号也不可再使用，但撤单后原订单的约定号可以再用；与不同对手方的成交申报可以使用相同约定号，如A和B，可以约定111111，A和C也可以约定111111，因为A这两笔申报的对手方PBU不相同，所以也不会报错。	['大宗', '交易', '返回', '废单', '错误代码', '为', '约定号', '不', '唯一', '是', '什么', '原因']	 大宗 交易 返回 废单 错误代码 约定号 不 唯一 原因
可转债可交换债申购代码会复用吗？	目前业务方案，代码不会复用。	['可转债', '可', '交换', '债', '申购', '代码', '会', '复用', '吗']	 可转债 交换 债 申购 代码 会 复用
中登是否会下发投票结果数据？如果不下发，只能处理bgh，bgh中都是有效投票吗？	中登不会下发投票明细数据，bgh中并不都是有效投票。	['中登', '是否', '会', '下发', '投票', '结果', '数据', '如果', '不', '下发', '只能', '处理', '中', '都', '是', '有效', '投票', '吗']	 中登 是否 会 下发 投票 数据 不 下发 只能 处理 中 都 有效 投票
ETF公告的申购赎回清单中揭示其现金替代比例上限为1且所有的成分股均可现金替代，客户完全用现金申购该ETF为什么返回废单，并提示“ETF现金替代比例超过基金公司规定的比例”？	ETF的现金替代比例上限为1，并不是指可以完全用现金来申购该ETF。进行申购时，要根据《ETF市场参与者技术实施指引》中申购订单现金替代比例的计算公式来计算现金替代比例。若按公式计算出的现金替代比例大于申购赎回清单中揭示的现金替代比例上限，就会申购失败。	['公告', '的', '申购', '赎回', '清单', '中', '揭示', '其', '现金', '替代', '比例', '上限', '为且', '所有', '的', '成分股', '均', '可', '现金', '替代', '客户', '完全', '用', '现金', '申购', '该', '为什么', '返回', '废单', '并', '提示', '现金', '替代', '比例', '超过', '基金', '公司', '规定', '的', '比例']	 公告 申购 赎回 清单 中 揭示 现金 替代 比例 上限 为且 所有 成分股 均 现金 替代 客户 完全 现金 申购 返回 废单 提示 现金 替代 比例 超过 基金 公司 规定 比例
对于‘累计应投数’，子议案的vleijino字段到底会不会填有效值？还是为空？	对于累积投票，按照，子议案的vleijino字段是可选项。在具体处理时，子议案的vleijino字段不会填值（为空），只会在议案组标题（即主议案）的vleijino字段填写有效值。http://www.sse.com.cn/services/tradingservice/tradingtech/technical/data/	['对于', '累计', '应', '投数子', '议案', '的', '字', '段', '到底', '会', '不会', '填', '有效值', '还是', '为空']	 累计 应 投数子 议案 字 段 到底 会 不会 填 有效值 为空
报单返回10740是什么错误？	10740:闭市时段已结束是指已经闭市。	['报单', '返回', '是', '什么', '错误']	 报单 返回 错误
在股东大会的投票如果有多个议案，是否允许客户只投其中的某一个或某几个？	要求全部投	['在', '股东大会', '的', '投票', '如果', '有', '多个', '议案', '是否', '允许', '客户', '只', '投', '其中', '的', '某', '一个', '或', '某', '几个']	 股东大会 投票 多个 议案 是否 允许 客户 只 投 几个
一个议案组中有多个子议案，客户各个子议案都投一样的，是否可以只发一笔申报？还是必须发多笔？	建议只发一笔针对议案组的申报。但我们同时也能够处理分成多条子议案形式的申报。	['一个', '议案', '组中', '有', '多个', '子', '议案', '客户', '各个', '子', '议案', '都', '投', '一样', '的', '是否', '可以', '只发', '一笔', '申报', '还是', '必须', '发', '多笔']	 议案 组中 多个 子 议案 客户 子 议案 都 投 一样 是否 只发 一笔 申报 必须 发 多笔
大宗交易意向申报，返回废单20010IOIRefID字段校验错误，根据，对于意向申报该字段取值为空？	根据，这个字段是字符型，如字符型字段值为空，则采用“标签=<SOH>”的方式表示（等号后与分隔符间有一个空格）。http://www.sse.com.cn/services/tradingservice/tradingtech/technical/data/	['大宗', '交易', '意向', '申报', '返回', '废', '单字', '段', '校验', '错误', '根据', '对于', '意向', '申报', '该字段', '取值', '为空']	 大宗 交易 意向 申报 返回 废 单字 段 校验 错误 意向 申报 该字段 取值 为空
投票议案公告文件vtlsMMDD.xml，是每家公司一个文件吗？通过什么途径下发？	投票议案公告文件vtlsMMDD.xml根据当日所有公司都在一个公告文件中。在交易日开市前发送通过通信公司单向卫星下发。http://www.sse.com.cn/services/tradingservice/tradingtech/technical/data/	['投票', '议案', '公告', '文件', '是', '每家', '公司', '一个', '文件', '吗', '通过', '什么', '途径', '下发']	 投票 议案 公告 文件 每家 公司 文件 途径 下发
交易所是否当天的文件只发当天可以投票的议案？	交易所当天的文件只发当天可以投票的议案。	['交易所', '是否', '当天', '的', '文件', '只发', '当天', '可以', '投票', '的', '议案']	 交易所 是否 当天 文件 只发 当天 投票 议案
全天候测试环境有哪些常规基金产品可供申赎测试？	全天候测试环境中可供进行常规申赎测试的基金产品有510050、510300、511010、511990、513100、518800、518880。若需进行其他产品的申赎测试，请到进行专项测试申请。http://istock.stocom.net/	['全天候', '测试环境', '有', '哪些', '常规', '基金', '产品', '可供', '申', '赎', '测试']	 全天候 测试环境 常规 基金 产品 可供 申 赎 测试
对于累计投票的议案组，股东可投票的总数=股东持股数*应选人数，应选人数是否对应vtlsMMDD.xml文件中的vleijino？	是的，累计投票应选人数是对应vtlsMMDD.xml文件中的vleijino。	['对于', '累计', '投票', '的', '议案', '组', '股东', '可', '投票', '的', '总数', '股东', '持股数', '应选', '人数', '应选', '人数', '是否', '对应', '文件', '中', '的']	 累计 投票 议案 组 股东 投票 总数 股东 持股数 应选 人数 应选 人数 是否 对应 文件 中
如果一个投资者持有一家上市公司的A股和B股，股东大会允许代码有A股和B股，那这个投资者能用A股股东和B股股东分别投一次么？	根据，持有多个股东账户的股东，可以通过其任一股东账户参加网络投票。投票后，视为其全部股东账户下的相同类别普通股和相同品种优先股均已分别投出同一意见的表决票。持有多个股东账户的股东，通过多个股东账户重复进行表决的，其全部股东账户下的相同类别普通股和相同品种优先股的表决意见，分别以各类别和品种股票的第一次投票结果为准。http://www.sse.com.cn/lawandrules/sserules/listing/stock/c/c_20150912_3985874.shtml	['如果', '一个', '投资者', '持有', '一家', '上市公司', '的', '股', '和', '股', '股东大会', '允许', '代码', '有股', '和', '股', '那', '这个', '投资者', '能用', '股', '股东', '和', '股', '股东', '分别', '投', '一次', '么']	 投资者 持有 一家 上市公司 股 股 股东大会 允许 代码 有股 股 投资者 能用 股 股东 股 股东 分别 投 一次
上市公司发起股东大会后，股东大会结束之前，每天公告的投票议案信息中是否都会包含该股东大会信息？	股东大会召开前，该股东大会信息不会包含在公告文件中；股东大会召开期间，该股东大会信息包含在每天的公告文件中。	['上市公司', '发起', '股东大会', '后', '股东大会', '结束', '之前', '每天', '公告', '的', '投票', '议案', '信息', '中', '是否', '都', '会', '包含', '该', '股东大会', '信息']	 上市公司 发起 股东大会 后 股东大会 结束 之前 每天 公告 投票 议案 信息 中 是否 都 会 包含 股东大会 信息
累积投票不需要投主议案，但是对于非累积投票，是否还需要申报主议案？	申报主议案的初衷是为投资者提供议案组表决，以减轻该议案组下每个子议案都要表决的负担，为投资者提供便利。技术层面上，参考有明确约定:投票议案编号及子议案编号，议案和子议案用小数点分隔。例如99（或99.00）表示所有议案；取值1表示议案1。带二位小数的编号代表议案组；小数点后数字为子议案。例如2.00表示议案2（议案组2）的所有子议案，2.01表示议案2（议案组2）的第一个子议案。但累积投票制,业务上不允许用议案组.00来整体性表决.http://www.sse.com.cn/services/tradingservice/tradingtech/technical/data/	['累积', '投票', '不', '需要', '投主', '议案', '但是', '对于', '非', '累积', '投票', '是否', '还', '需要', '申报', '主', '议案']	 累积 投票 不 需要 投主 议案 非 累积 投票 是否 还 需要 申报 主 议案
申报特定股份减持大宗交易，返回废单错误代码19256是什么原因？	19256股份减持标识填写错误。确认双方股份减持标识是否一致，若双方股份减持标识填写不一致，那么后申报的那一方会返回19256的错误代码。	['申报', '特定', '股份', '减持', '大宗', '交易', '返回', '废单', '错误代码', '是', '什么', '原因']	 申报 特定 股份 减持 大宗 交易 返回 废单 错误代码 原因
同一个股东账户自买自卖会成交吗？交易所会控制吗？	会成交，技术上交易所不做控制。	['同一个', '股东', '账户', '自买', '自卖会', '成交', '吗', '交易所', '会', '控制', '吗']	 同一个 股东 账户 自买 自卖会 成交 交易所 会 控制
投票议案公告文件vtlsMMDD.xml何时下发？投票期间是否每天下发？	投票议案公告文件vtlsMMDD.xml是股东大会开始日当天早上下发投票文件，投票期间每天下发。	['投票', '议案', '公告', '文件', '何时', '下发', '投票', '期间', '是否', '每天', '下发']	 投票 议案 公告 文件 下发 投票 期间 是否 每天 下发
mktdt00接口中字段“产品实时阶段及标志（TradingPhaseCode）”字段第一位P的含义？	交易时间段内P表示产品停牌（不区分临时停牌还是连续停牌），临时停牌或全天正常交易未发生停牌，收盘后标记为“E”，若连续停牌的，收盘后仍会标记为“P”。	['接口', '中字段', '产品', '实时', '阶段', '及', '标志', '字', '段', '第一位', '的', '含义']	 接口 中字段 产品 实时 阶段 标志 字 段 第一位 含义
股东大会的起始日和结束日当天是可以投票的吗？	股东大会的起始日和结束日当天是可以投票的，目前股改相关股东会议是安排多日投票的。若会期只有一天，起始日=终止日。	['股东大会', '的', '起始', '日', '和', '结束', '日', '当天', '是', '可以', '投票', '的', '吗']	 股东大会 起始 结束 当天 投票
一台监视报盘机EzOESMonitor可以同时监视多少台报盘机？	EzOES监视程序的设计支持一对多的监视方式，一台监视报盘机可以同时监视最多二十台报盘机，但是一台报盘机只能同时被一台活跃的监视程序监视。	['一台', '监视', '报盘', '机', '可以', '同时', '监视', '多少', '台', '报盘', '机']	 一台 监视 报盘 机 监视 台 报盘 机
添富快线519888的单笔申购上限是多少？	根，每笔申购金额应当为0.01元的整数倍，但不得低于1000元且不得高于999,999,900元。每笔赎回数量应当为1份或其整数倍，但不得高于99,999,999,999份。注1份的金额为0.01元。http://www.sse.com.cn/lawandrules/sserules/trading/fund/c/c_20160414_3977496.shtml	['添富', '快线', '的', '单笔', '申购', '上限', '是', '多少']	 添富 快线 单笔 申购 上限
投票业务是否允许撤单？（提交到交易所的投票是否还能撤销）	投票业务不允许撤单。	['投票', '业务', '是否', '允许', '撤单', '提交', '到', '交易所', '的', '投票', '是否', '还', '能', '撤销']	 投票 业务 是否 允许 撤单 提交 到 交易所 投票 是否 还 撤销
怎么知道是互斥议案？	根据最新《IS105上海证券交易所综合业务平台市场参与者接口规格说明书》关于投票议案公告文件vtlsMMDD.xml描述可知，互斥议案今后将使用vote标签的vrelation属性标明。	['怎么', '知道', '是', '互斥', '议案']	 知道 互斥 议案
一码通后，非累计的投票，是否需要在多个证券公司多次投票？以哪个为准？	不需要，所有股份合计，表决情况取第一次投票意见。	['一码', '通后', '非', '累计', '的', '投票', '是否', '需要', '在', '多个', '证券公司', '多次', '投票', '以', '哪个', '为准']	 一码 通后 非 累计 投票 是否 需要 多个 证券公司 多次 投票 为准
一码通后，累计的投票，是否需要在多个证券公司按持仓多次投票？	一码通后，累计的投票，不需要在多个证券公司按持仓多次投票。	['一码', '通后', '累计', '的', '投票', '是否', '需要', '在', '多个', '证券公司', '按', '持仓', '多次', '投票']	 一码 通后 累计 投票 是否 需要 多个 证券公司 持仓 多次 投票
B股的投票，bgh文件中会包含吗？	bgh文件中包含B股的投票。	['股', '的', '投票', '文件', '中', '会', '包含', '吗']	 股 投票 文件 中 会 包含
全天候测试环境EZSR文件收取正常，收到包数也有在持续变化，但会提示获取pubnum出错，查询超时。	数据库服务器运行状况不佳或者EzSR主机于数据库服务器网络运行不良好会导致EzSR查询数据库数据超时，提示获取pubnum出错，查询超时。	['全天候', '测试环境', '文件', '收取', '正常', '收到', '包数', '也', '有', '在', '持续', '变化', '但会', '提示', '获取', '出错', '查询', '超时']	 全天候 测试环境 文件 收取 正常 收到 包数 也 持续 变化 但会 提示 获取 出错 查询 超时
如何理解“包括且不限于只有股权登记日在册的股东才可以投票。”？	只有股权登记日在册的股东才可投票。关于持仓检查，暂不做要求。	['如何', '理解', '包括', '且', '不', '限于', '只有', '股权', '登记日', '在册', '的', '股东', '才', '可以', '投票']	 理解 包括 不 限于 股权 登记日 在册 股东 才 投票
日间是一笔一笔（也就是一个议案一个议案）申报过去，实时确认是一笔一笔返回，还是收到所有议案后一起返回？	因为STEP指令是多条,所以实时是一笔笔申报,响应一笔笔返回，盘后bgh文件再整体提供一次,具体格式参见《IS105IS105上海证券交易所综合业务平台市场参与者接口规格说明书》。	['日间', '是', '一笔', '一笔', '也', '就是', '一个', '议案', '一个', '议案', '申报', '过去', '实时', '确认', '是', '一笔', '一笔', '返回', '还是', '收到', '所有', '议案', '后', '一起', '返回']	 日间 一笔 一笔 也 议案 议案 申报 过去 实时 确认 一笔 一笔 返回 收到 所有 议案 后 一起 返回
固定收益平台可交换债换股代码可以通过什么途径查询？	登录固定收益平台交易端，选择交易——》现券交易——》可交换债换股申报录入。界面上输入证券代码，换股代码就会自动显示出来。	['固定', '收益', '平台', '可', '交换', '债换', '股', '代码', '可以', '通过', '什么', '途径', '查询']	 固定 收益 平台 交换 债换 股 代码 途径 查询
EzDA是基于哪种协议规范？	EzDA是基于STEP1.2和FIX5.0SP2协议规范上所做得扩展协议。	['是', '基于', '哪', '种', '协议', '规范']	 基于 种 协议 规范
EzDA客户端登录报初始化数据异常，请问是什么原因？	建议请检查JRE版本信息，根据《固定收益平台EzDA用户手册V0.3.4》可知，目前JRE版本只支持32位。	['客户端', '登录', '报', '初始化', '数据', '异常', '请问', '是', '什么', '原因']	 客户端 登录 报 初始化 数据 异常 请问 原因
EzDA支持DataAccess的所有业务吗？	EzDA不支持DataAccess的所有业务，EzDA目前仅能做债券质押式协议回购业务，而DataAccess无法做债券质押式协议回购业务。	['支持', '的', '所有', '业务', '吗']	 支持 所有 业务
EzDA报单速率是否有限制？	EzDA报单速率暂无限制，实际报单速度建议参考固定收益平台交易端。	['报单', '速率', '是否', '有', '限制']	 报单 速率 是否 限制
EzDA和现在的固定收益平台有何区别？	EzDA是前端软件，固定收益平台（FISP）是后台，可以把EzDA理解成固定收益平台的EzSTEP。	['和', '现在', '的', '固定', '收益', '平台', '有何', '区别']	 现在 固定 收益 平台 有何 区别
基金账户可以进行可转债、可交换债申购吗？	基金账户可以进行可转债、可交换债的申购，并且申购中签后可以进行转股操作。	['基金', '账户', '可以', '进行', '可转债', '可', '交换', '债', '申购', '吗']	 基金 账户 进行 可转债 交换 债 申购
固定收益平台报盘客户端EzDA在哪里下载？	下载全天候测试环境EzDA，需要先使用VPN拨入全天候测试环境，再通过浏览器地址栏输入地址，即可下载。如需要生产环境EzDA,可通过上海证券交易所官网下载，链接地址http://198.2.34.1:9090	['固定', '收益', '平台', '报盘', '客户端', '在', '哪里', '下载']	 固定 收益 平台 报盘 客户端 下载
在竞价交易中，债券交易和债券质押式回购交易的单笔申报最大数量是多少？	根据《上海证券交易所交易规则》，债券交易和债券质押式回购交易单笔申报最大数量应当不超过10万手。	['在', '竞价', '交易', '中', '债券', '交易', '和', '债券', '质押', '式', '回购', '交易', '的', '单笔', '申报', '最大', '数量', '是', '多少']	 竞价 交易 中 债券 交易 债券 质押 式 回购 交易 单笔 申报 最大 数量
EzDA是如何处理丢包问题的？	EzDA通过发送成交执行报告查询的请求来处理丢包问题。	['是', '如何', '处理', '丢包', '问题', '的']	 处理 丢包 问题
根据上海证券交易所综合业务平台市场参与者接口规格说明书（结算身份认证开发稿），对于字段校验号码描述中提到中登身份认证密码激活及密码重置服务填写6或8位数字。申报此类订单时需要补空格吗？	不用补空格，另外交易系统对此字段仅校验长度。	['根据', '上海证券交易所', '综合', '业务', '平台', '市场', '参与者', '接口', '规格', '说明书', '结算', '身份', '认证', '开发', '稿', '对于', '字', '段', '校验', '号码', '描述', '中', '提到', '中登', '身份', '认证', '密码', '激活', '及', '密码', '重置', '服务', '填写', '或位', '数字', '申报', '此类', '订单', '时', '需要', '补', '空格', '吗']	 上海证券交易所 综合 业务 平台 市场 参与者 接口 规格 说明书 结算 身份 认证 开发 稿 字 段 校验 号码 描述 中 提到 中登 身份 认证 密码 激活 密码 重置 服务 填写 或位 数字 申报 此类 订单 时 需要 补 空格
EzDA是如何处理重复订单的？	EzDA会有ReffID防重单校验机制。订单类报文同一交易员相同的ReffID发送请求会返回错误响应，查询类报文没有防重单校验。	['是', '如何', '处理', '重复', '订单', '的']	 处理 重复 订单
EzDA应用层的消息恢复机制是如何约定的？	EzDA通过查询报文来实现消息恢复机制。	['应用层', '的', '消息', '恢复', '机制', '是', '如何', '约定', '的']	 应用层 消息 恢复 机制 约定
EzTrans上传期权合格投资者文件，显示4052连接主机超时，该如何解决？	建议尝试将EzTrans上传任务删除重建即可恢复正常。	['上传', '期权', '合格', '投资者', '文件', '显示', '连接', '主机', '超时', '该', '如何', '解决']	 上传 期权 合格 投资者 文件 显示 连接 主机 超时 解决
可转债可交换债是通过什么文件来揭示利息的？	可交换债是净价交易，gzlx文件有揭示利息；可转债是全价交易，不会揭示利息。	['可转债', '可', '交换', '债是', '通过', '什么', '文件', '来', '揭示', '利息', '的']	 可转债 交换 债是 文件 揭示 利息
基金账户是否可以买入可转债？	基金账户可以买入可转债，技术和业务上均不做控制。	['基金', '账户', '是否', '可以', '买入', '可转债']	 基金 账户 是否 买入 可转债
什么是上市公司股份协议转让？	上市公司股份协议转让是指买卖各方依据事先达成的转让协议，向股份上市所在证券交易所和登记机构申请办理股份转让过户的业务。根据转让股份类型的不同，上市公司股份协议转让可以分为流通股协议转让和非流通股协议转让；根据转让主体类型的不同，可以分为国有股协议转让和非国有股协议转让；根据转让情形的不同，可以分为协议收购、对价偿还、股份回购等。	['什么', '是', '上市公司', '股份', '协议', '转让']	 上市公司 股份 协议 转让
信用账户需要做投资者身份认证吗？	根据中国结算网站逻辑，只要其一码通下任意账户认证过了，其他账户都可以通过其一码通进行绑定。	['信用', '账户', '需要', '做', '投资者', '身份', '认证', '吗']	 信用 账户 需要 做 投资者 身份 认证
请问投资者身份验证测试密码激活允许撤单吗？	根据密码激活是不支持撤单的。http://www.sse.com.cn/services/tradingservice/tradingtech/technical/development/	['请问', '投资者', '身份验证', '测试', '密码', '激活', '允许', '撤单', '吗']	 请问 投资者 身份验证 测试 密码 激活 允许 撤单
什么是上市公司流通股、非流通股？投资人如何了解持有股份的性质？	投资人本人或投资人的委托代理人凭委托书，可持投资人的上海证券交易所证券账户，向结算公司上海分公司申请查询该账户下登记的股份数量及类别。目前本所绝大部分上市公司的股份为流通股，包括无限售流通股和限售流通股。另外存在少量尚未进行股权分置改革的上市公司，仍具有非流通股。此类公司上市股票的简称前标有字母“S”，如S佳通。由于股份性质、状态和数量可能发生变化，投资人申请办理股权转让业务应以最新查询结果为准。	['什么', '是', '上市公司', '流通股', '非流通股', '投资人', '如何', '了解', '持有', '股份', '的', '性质']	 上市公司 流通股 非流通股 投资人 了解 持有 股份 性质
上市公司流通股股份是否可以办理协议转让业务？	根据《上市公司流通股协议转让业务办理暂行规则》，具有以下情形之一，可以通过本所和结算公司办理上市公司流通股协议转让手续（1）拟转让的股份数量不低于上市公司已发行股份的5%，或构成应披露的股份权益变动；（2）转让双方存在实际控制关系，或均受同一控制人控制；（3）国有主体之间所进行的行政划转；（4）外国投资者对上市公司进行战略投资；（5）股权分置改革代垫股份的偿还与收回；（6）股权激励股份的授予或回购；（7）中国证监会认定的其他情形。	['上市公司', '流通股', '股份', '是否', '可以', '办理', '协议', '转让', '业务']	 上市公司 流通股 股份 是否 办理 协议 转让 业务
什么是股权分置改革代垫股份偿还，或称股改对价偿还？	所谓“股改代垫股份”是指在上市公司股权分置改革中，原非流通股股东未参与股改方案表决、不赞成股改方案或因其他原因，未能按照有关方案向流通股股东支付股份对价，而由其他股东代为支付的情形。由于未支付股改对价，前述股东所持有的这部分非流通股在股改后不能获得流通权。通常，根据股改方案，相关股份的持有人需要向代垫股份的股东偿还股份对价，方可申请其所持有的剩余股份上市流通。此类股份协议转让为特殊类型的股份协议转让。由于是归还代垫股份，因此股份转让价格为零。申请人除须提交一般性申请文件外，还应提供上市公司出具的《关于本次股改对价偿还的情况说明》正本，详见本所《上市公司股份协议转让业务办理指南》第三部分“申请文件要求”。上市公司应在情况说明中简要描述公司股改方案，以及与本次转让相关的对价股份代垫和偿还的情况。如发生原非流通股股东持有人变更、上市公司股本总数变化从而导致应偿还的对价股数相应调整等情况，应同时予以说明。	['什么', '是', '股权', '分', '置', '改革', '代垫', '股份', '偿还', '或称', '股改', '对价', '偿还']	 股权 分 置 改革 代垫 股份 偿还 或称 股改 对价 偿还
什么是股权激励股份的回购？	向激励对象授予限制性股份，并在未来数年内分步解锁是上市公司股权激励的一种常见做法。在股权激励计划实施过程中，如发生计划所约定的不予解锁并由上市公司回购相关股份的情况，上市公司和有关激励对象可申请办理股份协议转让。除须提交一般性申请文件外，申请人还应提供上市公司的股权激励计划及与本次股份回购有关的公司决议和公告，详见本所《上市公司股份协议转让业务办理指南》第三部分“申请文件要求”。由于公司往往将回购股份予以注销，从而构成《公司法》所规定的减资行为，根据《公司法》第一百七十八条，公司有义务通知债权人并公告，因此建议于公告四十五日后办理相关激励股份的回购。	['什么', '是', '股权', '激励', '股份', '的', '回购']	 股权 激励 股份 回购
申请上市公司流通股、非流通股股份协议转让需要提交哪些文件？	本所在受理上市公司股份协议转让申请时，根据转让股份类型、转让主体类型、转让情形要求申请人提供相应文件，具体要求参见本所《上市公司股份协议转让业务办理指南》第三部分“申请文件要求”。	['申请', '上市公司', '流通股', '非流通股', '股份', '协议', '转让', '需要', '提交', '哪些', '文件']	 申请 上市公司 流通股 非流通股 股份 协议 转让 需要 提交 文件
上市公司非流通股股份是否可以办理协议转让业务？	根据《上市公司非流通股股份转让业务办理规则》，协议转让非流通股股份数量不得低于上市公司总股本的１％；持有数量不足１％的，如申请转让，应一次性全部转让给单一受让人；受让对象通常应为具有合格证券账户的法人机构。同时，根据《关于上市公司股权分置改革的指导意见》要求，上市公司非流通股协议转让，要对股权分置改革作出相应安排，或与股权分置改革组合运作。因此，通常要求受让方出具股权分置改革承诺函或与上市公司签署的股权分置改革协议。	['上市公司', '非流通股', '股份', '是否', '可以', '办理', '协议', '转让', '业务']	 上市公司 非流通股 股份 是否 办理 协议 转让 业务
哪些情形可以申请办理上市公司股份协议转让？如何申请办理上市公司股份协议转让？	只有符合有关法律法规和业务规则所规定的特定情形时，当事人方可申请以协议方式转让上市公司股份。上市公司流通股和非流通股分别适用不同的协议转让情形。协议转让上市公司非流通股，拟转让股份应达到该上市公司总股本的１%，或为持有人持有的该公司的全部非流通股股份。而上市公司流通股协议转让则主要为针对几类特殊情形下的定向股份转让需求一是上市公司收购和大比例股份的转让；二是对国有、外资等特殊类型投资主体的投资管理的要求；三是依据股权分置改革、股权激励方案等事先安排，在满足约定条件时所进行的转让。本所法律部依据相关法律法规和业务规则受理股份协议转让申请，对申请人提交的文件进行形式审核，对符合条件的申请出具合规性确认意见。申请人在取得本所出具的审核确认书后，可至中国证券登记结算有限责任公司上海分公司（以下简称“结算公司”）办理股份转让过户登记。	['哪些', '情形', '可以', '申请', '办理', '上市公司', '股份', '协议', '转让', '如何', '申请', '办理', '上市公司', '股份', '协议', '转让']	 情形 申请 办理 上市公司 股份 协议 转让 申请 办理 上市公司 股份 协议 转让
因司法执行、法人丧失资格导致的上市公司股份变更登记如何办理？	司法执行导致的上市公司股份变更登记，和因法人丧失资格导致的上市公司流通股股份变更登记由结算公司直接受理。因法人丧失资格导致上市公司非流通股股份变更登记的，当事人应先向本所提出确认申请，并提交以下文件（1）原法人持有人的营业执照或者工商注销证明；（2）股份归属证明文件。如属公司注销，需提供经实质性公证的股份归属证明文件（公证内容包括但不限于申请人与原法人的名称、营业执照号码、申请人与原法人的关系、原法人的注销事实、股份变更原因、股份的归属、债权债务的承担等）、政府批文或者人民法院的生效法律文书；（3）有关当事人的有效身份证明文件及复印件、证券账户卡及复印件；（4）结算公司出具的股份证明文件；（5）受让方同意参与上市公司股权分置改革的承诺函；（6）证券交易所要求提交的其它文件。	['因', '司法', '执行', '法人', '丧失', '资格', '导致', '的', '上市公司', '股份', '变更', '登记', '如何', '办理']	 司法 执行 法人 丧失 资格 导致 上市公司 股份 变更 登记 办理
